Date	GPP	R	NEP	GPPsd	Rsd	NEPsd
2023-06-23	0.460835794944214	-0.441452458709154	0.0193833362350601	0.0105474874714005	0.0105784043441344	0.0149382773580943
2023-06-24	0.739770837324788	-0.658733407229248	0.0810374300955406	0.0204218406739186	0.0202550513934981	0.0287631480103303
2023-06-25	0.678405298584764	-0.571868469934442	0.106536828650323	0.0224394310250704	0.0227049389298265	0.0319224422082028
2023-06-26	0.734651376078591	-0.543441471238853	0.191209904839738	0.0188693909552176	0.0187243197933414	0.0265829657251437
2023-06-27	0.399572781939234	-0.188335788155214	0.21123699378402	0.0117872306567721	0.0115155435491237	0.0164786695393685
2023-06-28	0.582054038668554	-0.276972081165736	0.305081957502817	0.0106308601727917	0.0103268157597053	0.0148208741897483
2023-06-29	0.490096585466388	-0.301589224605497	0.18850736086089	0.0111437867780282	0.0107453347032875	0.0154805103804697
2023-06-30	0.903220880034224	-0.700215850833984	0.20300502920024	0.0191575922789568	0.0188808057936211	0.026897921282939
2023-07-01	0.465825641450278	-0.161512175806205	0.304313465644073	0.0147182208265863	0.0147618022138736	0.020845546980151
2023-07-02	0.389746409775997	-0.0954774094862253	0.294269000289772	0.0106129465218705	0.0103322828499475	0.0148118433278036
2023-07-03	0.536976854559688	-0.385400600838449	0.151576253721239	0.0117600770514178	0.0113511964510577	0.0163446955654055
2023-07-04	0.591351657845487	-0.356536945377497	0.23481471246799	0.0121827099991295	0.0116526175828084	0.016858289339493
2023-07-05	0.798123294226164	-0.381200245835543	0.416923048390621	0.0188325841353616	0.0182320564047883	0.0262120984654578
2023-07-06	1.01323712230049	-0.613289392214957	0.399947730085537	0.0500923916752399	0.0513094555457192	0.0717070981991587
2023-07-07	0.955159591495329	-0.580733179620809	0.374426411874521	0.0361227136825763	0.0363086132673777	0.0512168511448467
2023-07-08	0.882196927146322	-0.550549188285674	0.331647738860648	0.0388648662774114	0.0382605879945402	0.0545376055987887
2023-07-09	0.681041212667447	-0.168189395038601	0.512851817628846	0.0432643743546821	0.0435488425681377	0.061386543943494
2023-07-10	1.15292768707233	-0.672339089507558	0.480588597564775	0.0417345179653828	0.0411747184296856	0.0586270196033087
2023-07-11	1.21389454359155	-0.883411430657564	0.330483112933988	0.0741584796771477	0.074904739534123	0.105404934005485
2023-07-12	1.00932854168639	-0.405002245786335	0.604326295900055	0.0254739009105731	0.0246787383899537	0.0354677283755455
2023-07-13	0.860659746697138	-0.544923239990203	0.315736506706934	0.0181898217067319	0.0181528704316608	0.0256981773406473
2023-07-14	0.715977162684951	-0.242098439519837	0.473878723165115	0.0129128924903468	0.0123798826658617	0.0178886636529328
2023-07-15	0.657306267358103	-0.247039128867788	0.410267138490315	0.0126847031500265	0.0119613912699802	0.0174349240066554
2023-07-16	0.77558131877762	-0.538364074066266	0.237217244711354	0.0106109819793542	0.0108197797916455	0.0151545561896705
