Date	GPP	R	NEP	GPPsd	Rsd	NEPsd	Treatment	Pond
2023-06-23	0.782277913216518	-0.531546709487477	0.250731203729041	0.0133814809800749	0.0128265597945869	0.0185360370463651	Fish	B1P1
2023-06-24	1.0566517475393	-0.807288376269838	0.249363371269459	0.025338680429315	0.0248642176480012	0.0355003949998606	Fish	B1P1
2023-06-25	1.32293587209939	-1.49032402521118	-0.167388153111797	0.0414448336512237	0.0414643528171979	0.0586256495991871	Fish	B1P1
2023-06-26	0.916027059308483	-0.657250981117712	0.258776078190771	0.0189606223846419	0.018898629488181	0.0267705696193512	Fish	B1P1
2023-06-27	0.570826075141287	-0.346249909074691	0.224576166066596	0.0133551237641445	0.0129739887662187	0.0186194445476117	Fish	B1P1
2023-06-28	0.935972527923841	-0.494336621785465	0.441635906138376	0.0198206213619802	0.0191818517724984	0.0275826117073255	Fish	B1P1
2023-06-29	0.665919336581494	-0.587297254870017	0.0786220817114767	0.0214096797055138	0.0205203658479774	0.0296556874752133	Fish	B1P1
2023-06-30	1.10152569155045	-0.814171526946464	0.287354164603989	0.0274629781143151	0.0272000242795643	0.038653026889446	Fish	B1P1
2023-07-01	0.604210414598294	-0.348137335262837	0.256073079335457	0.0183822696191066	0.0175381699162383	0.0254065983626375	Fish	B1P1
2023-07-02	0.60335108160973	-0.357028476881284	0.246322604728446	0.0145965603312714	0.0140945767418338	0.0202908025232095	Fish	B1P1
2023-07-03	0.748982804117012	-0.587320460615477	0.161662343501535	0.0129016225452537	0.0122447331504112	0.0177872244665933	Fish	B1P1
2023-07-04	0.731978538792312	-0.604441146447333	0.127537392344979	0.016163413298624	0.0161511231107118	0.0228498294785651	Fish	B1P1
2023-07-05	0.854629671794846	-0.58509787795815	0.269531793836697	0.0397389610394959	0.0393551154495022	0.0559286164368673	Fish	B1P1
2023-07-06	0.893902114697824	-0.601150379549616	0.292751735148208	0.0416540082523779	0.041334261271106	0.0586820037005999	Fish	B1P1
